uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
37882ff8-a7b7-4ce0-8d2f-b80dafcb2166,D01,HOPB,HOPB.AOS.S2,2017-12-12T14:25Z,2017-12-12T14:20Z,HOPB.SS.20171212,,HOPB.SS.20171212.WAT,,HOPB.SS.20171212.AIR,,,97.9,40,20,18,0,,20200224T163947Z
49a3b8f3-dd1b-452c-96d8-700061481fe0,D01,HOPB,HOPB.AOS.S2,2018-01-25T14:42Z,2018-01-25T14:42Z,HOPB.SS.20180125,,HOPB.SS.20180125.WAT,,HOPB.SS.20180125.AIR,,,99.6,40,20,18,0,,20200224T170524Z
23eec88a-af05-4887-bdc3-45d341ff04d6,D01,HOPB,HOPB.AOS.S2,2018-02-14T15:10Z,2018-02-14T14:51Z,HOPB.SS.20180214,,HOPB.SS.20180214.WAT,,HOPB.SS.20180214.AIR,,0.7,99.6,40,20,18,0,,20200224T172042Z
9af875d8-0869-40d4-9daa-d14138f85513,D01,HOPB,HOPB.AOS.S2,2018-02-20T15:12Z,2018-02-20T15:12Z,HOPB.SS.20180220,,HOPB.SS.20180220.WAT,,HOPB.SS.20180220.AIR,,2.3,99.9,42,15,15,0,,20200224T172042Z
4b3d20ae-f0bc-49a1-ac51-7f8c2abef34e,D01,HOPB,HOPB.AOS.S2,2018-02-28T14:33Z,2018-02-28T14:18Z,HOPB.SS.20180228,,HOPB.SS.20180228.WAT,,HOPB.SS.20180228.AIR,,2.1,99,41,19,16,0,,20200224T172042Z
d49af904-0492-482f-ac81-15617cc28311,D01,HOPB,HOPB.AOS.S2,2018-03-06T14:34Z,2018-03-06T14:34Z,HOPB.SS.20180306,,HOPB.SS.20180306.WAT,"",HOPB.SS.20180306.AIR,"",1.9,99.1,40,20,18,0,,20200224T171801Z
7a21a73b-7b69-4e4d-abbd-02d13b0dabee,D01,HOPB,HOPB.AOS.S2,2018-03-12T14:52Z,2018-03-12T14:55Z,HOPB.SS.20180312,,HOPB.SS.20180312.WAT,"",HOPB.SS.20180312.AIR,"",,99,40,20,18,0,,20200224T171801Z
ef184156-0435-45b5-a31f-439d708d817c,D01,HOPB,HOPB.AOS.S2,2018-03-19T14:21Z,2018-03-19T13:27Z,HOPB.SS.20180319,,HOPB.SS.20180319.WAT,"",HOPB.SS.20180319.AIR,"",,98.4,40,20,18,0,,20200224T171801Z
3363e363-ab57-495d-9b6e-ae2488118cc8,D01,HOPB,HOPB.AOS.S2,2018-03-29T14:10Z,2018-03-29T13:58Z,HOPB.SS.20180329,,HOPB.SS.20180329.WAT,A00000001192,HOPB.SS.20180329.AIR,A00000001191,,99.3,40,20,18,0,,20200224T171801Z
e25564f9-1fbd-4301-9390-a3d9080dede3,D01,HOPB,HOPB.AOS.S2,2018-04-05T14:32Z,2018-04-05T14:49Z,HOPB.SS.20180405,,HOPB.SS.20180405.WAT,A00000001198,HOPB.SS.20180405.AIR,A00000001199,,98.7,40,20,18,0,,20200224T171614Z
01b14eaf-7896-4217-abc7-1abdcb0dd1c2,D01,HOPB,HOPB.AOS.S2,2018-04-10T13:30Z,2018-04-10T13:36Z,HOPB.SS.20180410,,HOPB.SS.20180410.WAT,A00000001219,HOPB.SS.20180410.AIR,A00000001220,,99.4,40,20,18,0,,20200224T171614Z
b3dc926a-861f-44ed-bd44-edf2257113d5,D01,HOPB,HOPB.AOS.S2,2018-04-16T13:47Z,2018-04-16T13:46Z,HOPB.SS.20180416,,HOPB.SS.20180416.WAT,A00000000087,HOPB.SS.20180416.AIR,A00000000088,,99.1,40,20,18,0,,20200224T171614Z
