uid,domainID,siteID,namedLocation,collectDate,parentSampleID,waterSampleID,waterSampleCode,sdgFieldDataQF,publicationDate
69d21ab4-4b79-4ee6-8359-8c75f39c9d53,D01,HOPB,HOPB.AOS.S2,2019-04-25T13:30Z,HOPB.SS.20190425,HOPB.SS.20190425,,,20200224T171407Z
16836d5a-ce61-4c68-b8aa-9064c063bfd7,D01,HOPB,HOPB.AOS.S2,2019-05-13T13:35Z,HOPB.SS.20190513,HOPB.SS.20190513,,,20200224T171144Z
6649c4eb-6652-42ee-b310-6462ab8a4daa,D01,HOPB,HOPB.AOS.S2,2019-05-21T12:36Z,HOPB.SS.20190521,HOPB.SS.20190521,,,20200224T171144Z
7832f868-724b-4d87-a12b-4deddefb7064,D01,HOPB,HOPB.AOS.S2,2019-06-03T14:01Z,HOPB.SS.20190603,HOPB.SS.20190603.2,,,20200224T172207Z
b11422c8-b861-4cc1-b1b0-afd0ed4d6376,D01,HOPB,HOPB.AOS.S2,2019-06-03T14:01Z,HOPB.SS.20190603,HOPB.SS.20190603,,,20200224T172207Z
8ddba855-5f19-4966-9d05-58329c9a8943,D01,HOPB,HOPB.AOS.S2,2019-06-03T14:01Z,HOPB.SS.20190603,HOPB.SS.20190603.3,,,20200224T172207Z
468e9225-c4bc-4efd-b0ad-738ed5884c36,D01,HOPB,HOPB.AOS.S2,2019-06-24T13:20Z,HOPB.SS.20190624,HOPB.SS.20190624,,,20200224T172207Z
847671bf-a593-4d1c-bf7f-ee9d6c26c4db,D01,HOPB,HOPB.AOS.S2,2019-07-11T12:34Z,HOPB.SS.20190711,HOPB.SS.20190711,,,20200224T164549Z
48fb81e0-1a55-43b6-88c7-963030ba5356,D01,HOPB,HOPB.AOS.S2,2019-07-17T12:35Z,HOPB.SS.20190717,HOPB.SS.20190717,,,20200224T164549Z
379b2173-014a-4947-af03-ac4dcb4c73e3,D01,HOPB,HOPB.AOS.S2,2019-08-13T13:54Z,HOPB.SS.20190813,HOPB.SS.20190813,,,20200224T164503Z
9f8ae893-f10c-4a80-8aea-5d96166e0a20,D01,HOPB,HOPB.AOS.S2,2019-09-09T15:26Z,HOPB.SS.20190909,HOPB.SS.20190909,,,20200224T164106Z
e22f10ae-8e06-470d-b472-dee959ef45d1,D01,HOPB,HOPB.AOS.S2,2019-09-24T13:45Z,HOPB.SS.20190924,HOPB.SS.20190924,,,20200224T164106Z
5f2af253-5e6a-4959-8dcf-4927a0500c06,D01,HOPB,HOPB.AOS.S2,2019-10-09T14:29Z,HOPB.SS.20191009,HOPB.SS.20191009,,,20200309T145534Z
da6fd5ba-76fa-477c-a04f-5fa5ce7b7885,D01,HOPB,HOPB.AOS.S2,2019-11-05T15:17Z,HOPB.SS.20191105,HOPB.SS.20191105,,,20200406T154653Z
b16062bb-1866-4c63-8f1b-272bc8b22614,D01,HOPB,HOPB.AOS.S2,2019-11-13T15:40Z,HOPB.SS.20191113,HOPB.SS.20191113,,,20200406T154653Z
ea68a971-d3a5-4616-92d0-66e2bfc7c144,D01,HOPB,HOPB.AOS.S2,2019-12-04T15:06Z,HOPB.SS.20191204,HOPB.SS.20191204,,,20200504T144603Z
10718270-9174-4ba7-a1b4-a6ecbae265d7,D01,HOPB,HOPB.AOS.S2,2019-12-04T15:19Z,HOPB.SS.20191204,HOPB.SS.20191204.2,,,20200504T144603Z
b7a1d4c8-d4e1-49bc-a1c6-5c911dd6e909,D01,HOPB,HOPB.AOS.S2,2019-12-04T15:34Z,HOPB.SS.20191204,HOPB.SS.20191204.3,,,20200504T144603Z
996b24a7-7f04-4192-91fb-65bdf82dd68d,D01,HOPB,HOPB.AOS.S2,2019-12-09T14:14Z,HOPB.SS.20191209,HOPB.SS.20191209,,,20200504T144603Z
564b93e9-e8ea-47fa-baf5-46d6e1c27b2f,D01,HOPB,HOPB.AOS.S2,2020-01-21T15:54Z,HOPB.SS.20200121,HOPB.SS.20200121,,,20200601T135210Z
9ff5e705-af5b-4db2-b2c3-3027478ae0f3,D01,HOPB,HOPB.AOS.S2,2020-01-27T16:30Z,HOPB.SS.20200127,HOPB.SS.20200127,,,20200601T135210Z
858cadf3-c691-45a3-82b6-e6cdb3377a92,D01,HOPB,HOPB.AOS.S2,2020-02-12T15:45Z,HOPB.SS.20200212,HOPB.SS.20200212,,,20200406T152333Z
