uid,domainID,siteID,namedLocation,collectDate,referenceAirSampleID,referenceAirSampleCode,airVolumeSample,remarks,lowAirVolumeQF,sdgAirDataQF,publicationDate
92995c6e-b200-4b05-9308-3821e2f9436e,D01,HOPB,HOPB,2019-01-29T15:47Z,HOPB.SS.20190129.AIR,A00000032933,18,,0,,20200224T172047Z
c1842bc8-a769-4c58-a1c9-ce8854396235,D01,HOPB,HOPB,2019-02-14T14:17Z,HOPB.SS.20190214.AIR,A00000032982,18,,0,,20200224T171813Z
f9915ccd-d1cd-49a0-8bae-213262bef6ca,D01,HOPB,HOPB,2019-02-26T14:45Z,HOPB.SS.20190226.AIR,A00000032930,18,,0,,20200224T171813Z
957bb20b-e4fc-4764-8ee6-e5e7a8cc313d,D01,HOPB,HOPB,2019-03-06T15:09Z,HOPB.SS.20190306.AIR,A00000033564,18,,0,,20200224T171619Z
9bbc3f97-b204-42e1-b25e-ec429d2df5d6,D01,HOPB,HOPB,2019-03-12T14:30Z,HOPB.SS.20190312.AIR,A00000033649,18,,0,,20200224T171619Z
7bf17531-0b30-4c28-bca7-89b4a1c937ea,D01,HOPB,HOPB,2019-03-21T14:47Z,HOPB.SS.20190321.AIR,A00000033628,18,,0,,20200224T171619Z
37e993bf-ebae-429a-8b00-680513eca37b,D01,HOPB,HOPB,2019-03-28T14:04Z,HOPB.SS.20190328.AIR,A00000033144,18,,0,,20200224T171619Z
e15ec963-f0dc-404e-b3f9-7774315c74be,D01,HOPB,HOPB,2019-04-04T13:07Z,HOPB.SS.20190404.AIR,A00000033151,18,,0,,20200224T171407Z
c11b170f-befd-4794-b9e9-cdbe62e5c066,D01,HOPB,HOPB,2019-04-09T15:07Z,HOPB.SS.20190409.AIR,A00000033164,18,,0,,20200224T171407Z
7e9dacca-ba73-4aee-b977-b7ebf79e3cfe,D01,HOPB,HOPB,2019-04-25T13:39Z,HOPB.SS.20190425.AIR,A00000033280,18,,0,,20200224T171407Z
2e7cb804-aec4-421b-93ba-3b0450533e5a,D01,HOPB,HOPB,2019-05-13T14:16Z,HOPB.SS.20190513.AIR,A00000033320,18,,0,,20200224T171144Z
a2c9706e-c27f-4595-a3ad-271702b266bb,D01,HOPB,HOPB,2019-05-21T13:20Z,HOPB.SS.20190521.AIR,A00000033333,18,,0,,20200224T171144Z
22a91e8d-c7ba-4d1f-974b-c7e9cce65566,D01,HOPB,HOPB,2019-06-03T14:09Z,HOPB.SS.20190603.AIR,A00000066827,18,,0,,20200224T172207Z
f8826f40-30e5-4420-a489-3607057856f7,D01,HOPB,HOPB,2019-06-03T14:20Z,HOPB.SS.20190603.AIR.2,A00000033474,18,,0,,20200224T172207Z
3193f8b7-2829-4898-9f4c-59486e604fa2,D01,HOPB,HOPB,2019-06-03T14:28Z,HOPB.SS.20190603.AIR.3,A00000033473,18,,0,,20200224T172207Z
210e4363-cea3-411b-a1ca-77f48c5f7bbb,D01,HOPB,HOPB,2019-06-24T13:37Z,HOPB.SS.20190624.AIR,A00000066940,18,,0,,20200224T172207Z
60a4f13d-487d-445f-bc1a-69328da38527,D01,HOPB,HOPB,2019-07-11T12:50Z,HOPB.SS.20190711.AIR,A00000067573,18,,0,,20200224T164549Z
c09b55d2-0af2-47d1-b141-0a2b8de7f2c5,D01,HOPB,HOPB,2019-07-17T12:54Z,HOPB.SS.20190717.AIR,A00000067806,18,,0,,20200224T164549Z
8e4fb617-5586-4130-b73f-6a5387d42d89,D01,HOPB,HOPB,2019-08-13T14:09Z,HOPB.SS.20190813.AIR,A00000068037,22,,0,,20200224T164503Z
cf9f425f-c283-4212-900d-b70fa21aa9b0,D01,HOPB,HOPB,2019-09-09T15:36Z,HOPB.SS.20190909.AIR,A00000068185,18,,0,,20200224T164106Z
9796402a-e6a4-400a-ad23-90635cae06d4,D01,HOPB,HOPB,2019-09-24T13:42Z,HOPB.SS.20190924.AIR,A00000126036,20,,0,,20200224T164106Z
78e4b172-9b4f-4beb-8715-8c507c61a67b,D01,HOPB,HOPB,2019-10-09T14:43Z,HOPB.SS.20191009.AIR,A00000125964,20,,0,,20200309T145534Z
817eede6-422f-44a7-96c3-ab2f5596efd3,D01,HOPB,HOPB,2019-11-05T15:28Z,HOPB.SS.20191105.AIR,A00000126194,18,,0,,20200406T154653Z
1176ad90-9805-4b16-a37d-9be65f3e624f,D01,HOPB,HOPB,2019-11-13T15:52Z,HOPB.SS.20191113.AIR,A00000126206,18,,0,,20200406T154653Z
3e1cbe7a-ddcb-4c49-b42c-54de4b68a22c,D01,HOPB,HOPB,2019-12-04T15:14Z,HOPB.SS.20191204.AIR,A00000126253,18,,0,,20200504T144603Z
5bbb3c9d-7f1a-4a95-830a-32bb0eef5d01,D01,HOPB,HOPB,2019-12-04T15:29Z,HOPB.SS.20191204.AIR.2,A00000126235,18,,0,,20200504T144603Z
2fcbaf30-fd56-485e-b900-584381d5ace1,D01,HOPB,HOPB,2019-12-04T15:41Z,HOPB.SS.20191204.AIR.3,A00000126236,18,,0,,20200504T144603Z
b1cbdef3-939a-493f-a552-3b67b45446d7,D01,HOPB,HOPB,2019-12-09T14:22Z,HOPB.SS.20191209.AIR,A00000126217,18,,0,,20200504T144603Z
4ea10e68-873e-4b47-83aa-3f3ccf292a34,D01,HOPB,HOPB,2020-01-21T16:29Z,HOPB.SS.20200121.AIR,A00000126231,18,,0,,20200601T135210Z
5cc4604f-3f1c-4b71-a9e6-98e94a0a4a7c,D01,HOPB,HOPB,2020-01-27T16:37Z,HOPB.SS.20200127.AIR,A00000126232,18,,0,,20200601T135210Z
a3d5c0ab-4ec4-400b-aba9-8f038f6e8677,D01,HOPB,HOPB,2020-02-12T15:53Z,HOPB.SS.20200212.AIR,A00000126229,18,,0,,20200406T152333Z
