uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
ddce6329-74e1-4f36-af56-59eeaeca4568,D04,CUPE,CUPE.AOS.S2,2019-12-10T11:13Z,2019-12-10T11:15Z,CUPE.SS.20191210,,CUPE.SS.20191210.WAT,A00000110065,CUPE.SS.20191210.AIR,A00000110064,,100,40,20,16,0,,20200504T172311Z
6dd328e6-9e0b-48d7-83bf-578d2c192b35,D13,COMO,COMO.AOS.S2,2019-01-14T17:36Z,2019-01-14T19:00Z,COMO.SS.20190114,,COMO.SS.20190114.WAT,A00000051430,COMO.SS.20190114.AIR,A00000051431,,70.52,40,20,16,0,,20200224T171826Z
fcfb353d-03b5-4527-bd5a-88987fbb1f75,D13,COMO,COMO.AOS.S2,2019-02-19T16:43Z,2019-02-19T16:56Z,COMO.SS.20190219,,COMO.SS.20190219.WAT,A00000051479,COMO.SS.20190219.AIR,A00000051480,,70,40,20,17,0,,20200224T171611Z
ad3e42a9-5c3d-4a81-a5aa-d279000b88c4,D13,COMO,COMO.AOS.S2,2019-03-19T17:00Z,2019-03-19T17:56Z,COMO.SS.20190319,,COMO.SS.20190319.WAT,A00000051702,COMO.SS.20190319.AIR,A00000051692,,71.1,40,20,17,0,,20200224T171839Z
f1d818e6-31dc-4eb1-af87-40f528404be4,D13,COMO,COMO.AOS.S2,2019-04-23T17:05Z,2019-04-23T17:15Z,COMO.SS.20190423,,COMO.SS.20190423.WAT,A00000089724,COMO.SS.20190423.AIR,A00000089655,,70.7,40,20,17,0,,20200224T170619Z
f3eea5cc-b5e6-4d24-a788-8b4cdbbe9016,D13,COMO,COMO.AOS.S2,2019-05-13T18:17Z,2019-05-13T18:21Z,COMO.SS.20190513,,COMO.SS.20190513.WAT,A00000089702,COMO.SS.20190513.AIR,A00000089701,,70.8,40,20,16,0,,20200224T170557Z
785787e4-8e9a-4f49-a79c-b8d56ca4bb4f,D13,COMO,COMO.AOS.S2,2019-05-21T16:30Z,2019-05-21T16:36Z,COMO.SS.20190521,,COMO.SS.20190521.WAT,A00000089982,COMO.SS.20190521.AIR,A00000089965,,69.6,40,20,18,0,,20200224T170557Z
fa6f27b1-15a2-4d20-b085-d2b885e5c9c4,D13,COMO,COMO.AOS.S2,2019-05-28T20:42Z,2019-05-28T20:44Z,COMO.SS.20190528,,COMO.SS.20190528.WAT,A00000090034,COMO.SS.20190528.AIR,A00000090008,,70.6,40,20,18,0,,20200224T170557Z
446269cb-6240-4026-9d1a-8355c323a809,D13,COMO,COMO.AOS.S2,2019-06-03T16:41Z,2019-06-03T16:43Z,COMO.SS.20190603,,COMO.SS.20190603.WAT,A00000089869,COMO.SS.20190603.AIR,A00000089882,,70.7,40,20,18,0,,20200224T171505Z
e2a948d2-eb3f-49bf-828b-80033c24cfeb,D13,COMO,COMO.AOS.S2,2019-06-10T16:52Z,2019-06-10T16:53Z,COMO.SS.20190610,,COMO.SS.20190610.WAT,A00000089695,COMO.SS.20190610.AIR,A00000089696,,71.4,40,20,7,1,,20200224T171505Z
